SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,September-27-2018,Townhouse,3239 Amidy Garden Way,SAN JOSE,CA,95136,781000,2,2.5,SAN JOSE,1362,1134,2010,346,573,273,Sold,,,http://www.redfin.com/CA/San-Jose/3239-Amidy-Garden-Way-95136/home/52671510,MLSListings,ML81718725,N,Y,37.281078,-121.858742
PAST SALE,April-23-2018,Condo/Co-op,232 Stonegate Cir,SAN JOSE,CA,95110,515000,1,1,SAN JOSE,560,3490,1984,503,920,250,Sold,,,http://www.redfin.com/CA/San-Jose/232-Stonegate-Cir-95110/home/845037,MLSListings,ML81697275,N,Y,37.3123,-121.878993
PAST SALE,July-17-2018,Condo/Co-op,247 N Capitol Ave #206,SAN JOSE,CA,95127,340000,1,1,SAN JOSE,777,788,1977,418,438,285,Sold,,,http://www.redfin.com/CA/San-Jose/247-N-Capitol-Ave-95127/unit-206/home/1468420,MLSListings,ML81707527,N,Y,37.3681117,-121.8415302
PAST SALE,June-15-2016,Condo/Co-op,175 W Saint James St #1506,SAN JOSE,CA,95110,1052000,2,2,SAN JOSE,1882,285,2006,1180,559,472,Sold,,,http://www.redfin.com/CA/San-Jose/175-W-St-James-St-95110/unit-1506/home/17289652,MLSListings,ML81564478,N,Y,37.3381681,-121.8957848
PAST SALE,November-4-2016,Condo/Co-op,112 S 3rd St,SAN JOSE,CA,95112,658888,2,2.5,SAN JOSE,1458,766,1997,1038,452,511,Sold,,,http://www.redfin.com/CA/San-Jose/112-S-3rd-St-95112/home/1458316,MLSListings,ML81615172,N,Y,37.3346127,-121.8862943
PAST SALE,March-16-2016,Single Family Residential,4930 Poston Dr,SAN JOSE,CA,95136,752000,3,2,SAN JOSE,1313,6242,1973,1271,573,,Sold,,,http://www.redfin.com/CA/San-Jose/4930-Poston-Dr-95136/home/1852348,MLSListings,ML81547331,N,Y,37.2635791,-121.8259463
PAST SALE,April-27-2018,Single Family Residential,3306 Yuba Ave,SAN JOSE,CA,95117,1650000,4,2,SAN JOSE,2257,6900,1968,499,731,,Sold,,,http://www.redfin.com/CA/San-Jose/3306-Yuba-Ave-95117/home/1357758,MLSListings,ML81697073,N,Y,37.3033951,-121.9555543
PAST SALE,August-15-2018,Condo/Co-op,5468 Tyhurst Ww #1,SAN JOSE,CA,95123,512500,2,1,SAN JOSE,810,3196,1970,389,633,335,Sold,,,http://www.redfin.com/CA/San-Jose/5468-Tyhurst-Ct-95123/unit-1/home/146196801,MLSListings,ML81713572,N,Y,37.2531659,-121.8238949
PAST SALE,June-17-2019,Single Family Residential,5767 Cohasset Way,SAN JOSE,CA,95123,835000,3,2,SAN JOSE,1203,4951,1966,83,694,,Sold,,,http://www.redfin.com/CA/San-Jose/5767-Cohasset-Way-95123/home/1080635,MLSListings,ML81749980,N,Y,37.2476673,-121.8096623
PAST SALE,November-13-2017,Single Family Residential,2262 Mount Davidson Dr,SAN JOSE,CA,95124,1150000,3,2.5,SAN JOSE,1650,3000,1979,664,697,,Sold,,,http://www.redfin.com/CA/San-Jose/2262-Mt-Davidson-Dr-95124/home/1582493,MLSListings,ML81680041,N,Y,37.2623158,-121.9412449
